[2026-08-04T17:22:44.309620+00:00] 🚀 Initializing Async gRPC Streamer (Signal Handler Active)
[2026-08-04T17:22:44.309741+00:00]    Target: 127.0.0.1:50051 | Max FPS: 60.0 | Log File: /data/data/com.termux/files/home/Tordial-GS-_Manifold/Jiggler/telemetry.log
[2026-08-04T17:24:20.192780+00:00] 📊 [NOMINAL  ] [Batch #005311] FPS:  54.8 /  60.0 target | SIMD: 4.19ms (238.66 M/s) | Payload:  1.44 KB/s
[2026-08-04T17:24:21.208570+00:00] 📊 [NOMINAL  ] [Batch #005367] FPS:  55.1 /  60.0 target | SIMD: 3.69ms (271.31 M/s) | Payload:  1.45 KB/s
[2026-08-04T17:24:22.219545+00:00] 📊 [NOMINAL  ] [Batch #005423] FPS:  55.4 /  60.0 target | SIMD: 3.51ms (284.96 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:24:23.227792+00:00] 📊 [NOMINAL  ] [Batch #005479] FPS:  55.5 /  60.0 target | SIMD: 2.78ms (359.53 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:24:24.243389+00:00] 📊 [NOMINAL  ] [Batch #005536] FPS:  56.1 /  60.0 target | SIMD: 3.01ms (331.69 M/s) | Payload:  1.48 KB/s
[2026-08-04T17:24:25.244888+00:00] 📊 [NOMINAL  ] [Batch #005591] FPS:  54.9 /  60.0 target | SIMD: 3.41ms (293.00 M/s) | Payload:  1.45 KB/s
[2026-08-04T17:24:26.251879+00:00] 📊 [NOMINAL  ] [Batch #005647] FPS:  55.6 /  60.0 target | SIMD: 2.74ms (365.50 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:24:27.261003+00:00] 📊 [NOMINAL  ] [Batch #005703] FPS:  55.5 /  60.0 target | SIMD: 2.91ms (343.87 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:24:28.269619+00:00] 📊 [NOMINAL  ] [Batch #005759] FPS:  55.5 /  60.0 target | SIMD: 4.01ms (249.34 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:24:29.281962+00:00] 📊 [NOMINAL  ] [Batch #005815] FPS:  55.3 /  60.0 target | SIMD: 4.01ms (249.17 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:24:30.286028+00:00] 📊 [NOMINAL  ] [Batch #005871] FPS:  55.8 /  60.0 target | SIMD: 3.73ms (268.02 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:24:31.292275+00:00] 📊 [NOMINAL  ] [Batch #005927] FPS:  55.7 /  60.0 target | SIMD: 3.67ms (272.23 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:24:32.299910+00:00] 📊 [NOMINAL  ] [Batch #005983] FPS:  55.6 /  60.0 target | SIMD: 3.71ms (269.68 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:24:33.304094+00:00] 📊 [NOMINAL  ] [Batch #006039] FPS:  55.8 /  60.0 target | SIMD: 3.60ms (277.99 M/s) | Payload:  1.47 KB/s
